station,name,years_since_daily,days_since_daily,years_since_monthly,years_since_alltime,latitude,longitude
55Nthr 9,Atlantic City Marina Area,0.047752808988764044,17,15.542134831460674,106.25561797752809,39.36287000000004,-74.42636999999996
8D3thr 9,Sisseton Area,0.18820224719101122,67,10.210674157303371,90.03370786516854,45.66019000000006,-97.04127999999997
CRPthr 9,Corpus Christi Area,0.16573033707865167,59,0.16573033707865167,22.042134831460675,27.796410000000037,-97.40373999999997
CRWthr 9,Charleston Area,0.21067415730337077,75,4.129213483146067,93.01404494382022,38.35016000000007,-81.63894999999997
AATthr 9,Alturas Area,0.05056179775280899,18,0.6910112359550562,20.151685393258425,41.49432000000007,-120.54260999999997
ABEthr 9,Allentown Area,0.21067415730337077,75,2.4747191011235956,57.10674157303371,40.60263000000003,-75.47026999999997
ILMthr 9,Wilmington Area,0.17415730337078653,62,2.4719101123595504,71.48595505617978,34.23497000000003,-77.94599999999997
ILNthr 9,Wilmington Area,0.1797752808988764,64,40.258426966292134,89.88764044943821,39.44713000000007,-83.82843999999994
CSGthr 9,Columbus Area,0.16573033707865167,59,2.4691011235955056,9.918539325842696,32.46288000000004,-84.98756999999995
CUSM6thr 9,Columbus Area,0.17134831460674158,61,2.4719101123595504,98.99157303370787,33.495070000000055,-88.42854999999997
INDthr 9,Indianapolis Area,0.2247191011235955,80,2.4775280898876404,87.85393258426966,39.76691000000005,-86.15011999999996
INLthr 9,International Falls Area,0.43258426966292135,154,1.353932584269663,101.17134831460675,48.60260000000005,-93.40364999999997
OMKthr 9,Omak Area,0.25280898876404495,90,0.25280898876404495,0.6882022471910112,48.410780000000045,-119.52723999999995
ONOthr 9,Ontario Area,0.36797752808988765,131,6.848314606741573,56.056179775280896,44.025690000000054,-116.96585999999996
ABIthr 9,Abilene Area,0.1797752808988764,64,0.18258426966292135,80.61797752808988,32.44917000000004,-99.74141999999995
ABQthr 9,Albuquerque Area,0.24719101123595505,88,28.39887640449438,28.39887640449438,35.08423000000005,-106.64904999999999
TRIthr 9,Bristol-Johnson City Area,0.16573033707865167,59,2.4719101123595504,9.918539325842696,36.29376002414793,-82.40800993629173
TTNthr 9,Trenton Area,0.2247191011235955,80,4.126404494382022,87.86797752808988,40.21788000000004,-74.75939999999997
