station,name,years_since_daily,days_since_daily,days_since_val,years_since_monthly,years_since_alltime,all_time_days,all_time_date,all_time_val,true_latitude,true_longitude,state_abbr,days_since_daily_date,latitude,longitude,last_data_point
55Nthr 9,Atlantic City Marina Area,0,31,63,15,106,37841,1918-08-07,104,39.36287000000004,-74.42636999999996,NJ,2022-02-12,2.5341174897389114,16.844683491174294,20220315
8D3thr 9,Sisseton Area,0,81,56,10,90,32066,1934-05-30,113,45.66019000000006,-97.04127999999997,SD,2021-12-24,6.988043501232436,-0.2643335487767883,20220315
CRPthr 9,Corpus Christi Area,0,73,92,0,22,7861,2000-09-05,109,27.796410000000037,-97.40373999999997,TX,2022-01-01,-10.888354782868488,-0.7830786332316053,20220315
CRWthr 9,Charleston Area,0,89,72,4,93,33127,1931-07-04,108,38.35016000000007,-81.63894999999997,WV,2021-12-16,0.48628530131690856,11.574456844696355,20220315
INDthr 9,Indianapolis Area,0,94,66,2,87,31290,1936-07-14,106,39.76691000000005,-86.15011999999996,IN,2021-12-11,1.4638307914878923,7.951717897078753,20220315
INLthr 9,International Falls Area,0,168,84,1,101,36031,1923-07-22,103,48.60260000000005,-93.40364999999997,MN,2021-09-28,9.902477386857475,2.198996741321037,20220315
AATthr 9,Alturas Area,0,32,66,0,20,7188,2002-07-10,107,41.49432000000007,-120.54260999999997,CA,2022-02-11,5.153068038356705,-17.575287649070685,20220315
ABEthr 9,Allentown Area,0,89,61,2,57,20344,1966-07-03,105,40.60263000000003,-75.47026999999997,PA,2021-12-16,3.578997807189293,15.796589872103235,20220315
ORDthr 9,Chicago Area,0,89,66,34,89,32011,1934-07-24,105,41.884250000000065,-87.63244999999995,IL,2021-12-16,3.480728167178659,6.640271682233052,20220315
ORFthr 9,Norfolk Area,0,73,76,6,11,4252,2010-07-24,105,36.84686000000005,-76.28513999999996,VA,2022-01-01,-0.2578937550308057,15.9777991156265,20220315
CSGthr 9,Columbus Area,0,73,82,2,9,3545,2012-06-30,106,32.46288000000004,-84.98756999999995,GA,2022-01-01,-5.747506791614142,9.683498376242373,20220315
CUSM6thr 9,Columbus Area,0,75,81,2,99,35255,1925-09-05,110,33.495070000000055,-88.42854999999997,MS,2021-12-30,-4.997258294963132,6.727494706011287,20220315
TYSthr 9,Knoxville Area,0,73,77,0,9,3545,2012-06-30,105,35.960680000000025,-83.92102999999997,TN,2022-01-01,-2.1520372539043744,10.12508866047554,20220315
UILthr 9,Quillayute Area,0,47,58,3,41,14828,1981-08-09,99,47.94313000000005,-124.54242999999997,WA,2022-01-27,12.057647621632489,-18.522592595914308,20220315
INWthr 9,Winslow Area,0,129,80,0,0,248,2021-07-10,110,35.02426000000003,-110.69623999999999,AZ,2021-11-06,-2.7902671320259107,-11.421326489182622,20220315
IPLthr 9,El Centro Area,0,223,119,0,4,1729,2017-06-20,122,32.79616000000004,-115.56996999999996,CA,2021-08-04,-4.275184316721509,-15.77290445774636,20220315
ABIthr 9,Abilene Area,0,78,81,0,80,28714,1943-08-03,111,32.44917000000004,-99.74141999999995,TX,2021-12-27,-6.2315719627832875,-2.675379941208558,20220315
ABQthr 9,Albuquerque Area,0,102,65,28,28,10124,1994-06-26,107,35.08423000000005,-106.64904999999999,NM,2021-12-03,-3.1664736918158365,-8.157875510543986,20220315
ORHthr 9,Worcester Area,0,88,60,4,113,40432,1911-07-04,102,42.26341000000008,-71.80218999999994,MA,2021-12-17,5.834648513519116,18.05976567437649,20220315
OSPA3thr 9,Oracle Area,0,127,83,0,0,272,2021-06-16,110,32.61047000000008,-110.76717999999994,AZ,2021-11-08,-5.177528921284283,-11.85449063857143,20220315
CVGthr 9,Cincinnati Area,0,80,69,2,89,32014,1934-07-21,108,39.162000000000035,-84.45688999999999,OH,2021-12-25,1.0026260071326643,9.307039778867956,20220315
CXMthr 9,Charleston Downtown Area,0,79,77,2,37,13435,1985-06-02,104,32.781150000000025,-79.93159999999995,SC,2021-12-26,-4.833598159634986,13.828575909793662,20220315
UINthr 9,Quincy Area,0,81,69,0,87,31289,1936-07-15,114,39.93559000000005,-91.39582999999999,IL,2021-12-24,1.3304663293529806,3.9605347765317247,20220315
UKIthr 9,Ukiah Area,0,30,79,0,68,24300,1955-09-03,115,39.15093000000007,-123.2079,CA,2022-02-13,3.422741802145371,-20.15078069423152,20220315
OSWN6thr 9,Oswego Area,0,88,64,2,20,7153,2002-08-14,97,43.45646000000005,-76.51118999999994,NY,2021-12-17,6.2188657178553495,14.445252601089361,20220315
OTZthr 9,Kotzebue Area,0,86,35,0,8,3191,2013-06-19,85,66.89675000000005,-162.58589999999998,AK,2021-12-19,-8.470344972011281,-18.406363370990857,20220315
IPTthr 9,Williamsport Area,0,89,65,5,87,31295,1936-07-09,106,41.24094000000008,-77.00140999999996,PA,2021-12-16,3.9710605167149877,14.541131821616949,20220315
ISNthr 9,Williston Area,0,160,92,10,87,31299,1936-07-05,110,48.14704000000006,-103.62186999999994,ND,2021-10-06,9.637185553568214,-4.661608411457708,20220315
CYSthr 9,Cheyenne Area,0,101,65,0,69,24737,1954-06-23,100,41.13481000000007,-104.82153999999997,WY,2021-12-04,2.7601061864964858,-6.116966010013002,20220315
DABthr 9,Daytona Beach Area,0,72,82,6,79,28388,1944-06-24,102,29.20357000000007,-81.03939999999994,FL,2022-01-02,-8.502103618522508,13.477531736180932,20220315
ABRthr 9,Aberdeen Area,0,104,65,10,87,31298,1936-07-06,115,45.45909000000006,-98.48690999999997,SD,2021-12-01,6.807125110670494,-1.280229687558387,20220315
ABYthr 9,Albany Area,0,72,86,0,42,15218,1980-07-15,107,31.58140000000003,-84.15601999999996,GA,2022-01-02,-6.538118075194993,10.486296706779992,20220315
P68thr 9,Eureka Area,0,101,58,1,37,13402,1985-07-05,105,39.51542000000006,-115.96210999999994,NV,2021-12-04,2.4172967560257326,-14.68025395936821,20220315
PAHthr 9,Paducah Area,0,77,71,2,9,3546,2012-06-29,108,37.08571000000006,-88.59584999999998,KY,2021-12-28,-1.4036853410317498,6.3075205722108585,20220315
DALthr 9,Dallas Area,0,80,81,3,42,15237,1980-06-26,112,32.77822000000003,-96.79511999999994,TX,2021-12-25,-5.961177589901531,-0.20077612688527904,20220315
DANthr 9,Danville Area,0,73,79,20,106,37842,1918-08-06,107,36.58598000000006,-79.41719999999998,VA,2022-01-01,-0.9883659664343001,13.586301233626886,20220315
UNRS2thr 9,Rapid City Downtown Area,0,103,74,9,69,24721,1954-07-09,107,44.08146000000005,-103.23079999999999,SD,2021-12-02,5.608015276616754,-4.707518759952422,20220315
VCTthr 9,Victoria Area,0,73,86,8,22,7861,2000-09-05,111,28.805940000000078,-97.00356999999997,TX,2022-01-01,-9.902693948926206,-0.4170292905241563,20220315
ISPthr 9,Islip Area,0,31,62,2,57,20344,1966-07-03,104,40.728170000000034,-73.21799999999996,NY,2022-02-12,4.083800373022782,17.41795693311391,20220315
ITOthr 9,Hilo Area,0,309,85,1,57,20388,1966-05-20,94,19.71924000000007,-155.08184999999997,HI,2021-05-10,-12.242439556469035,-7.103413432531643,20220315
ACTthr 9,Waco Area,0,75,82,3,3,1331,2018-07-23,114,31.57182000000006,-97.14949999999999,TX,2021-12-30,-7.162641967708949,-0.5115991227778878,20220315
ACYthr 9,Atlantic City Area,0,31,64,2,54,19253,1969-06-28,106,39.36287000000004,-74.42636999999996,NJ,2022-02-12,2.5341174897389114,16.844683491174294,20220315
PBFthr 9,Pine Bluff Area,0,73,80,14,80,28702,1943-08-15,112,34.22353000000004,-92.00339999999994,AR,2022-01-01,-4.44598150041457,3.741746148707495,20220315
PBGthr 9,Plattsburgh Area,0,88,61,5,47,17028,1975-08-01,101,44.699130000000025,-73.45302999999996,NY,2021-12-17,7.902578226919149,16.307719208876538,20220315
DAYthr 9,Dayton Area,0,78,66,1,123,44066,1901-07-22,108,39.75920000000008,-84.19380999999998,OH,2021-12-27,1.6254170860665813,9.432869613720952,20220315
DBQthr 9,Dubuque Area,0,90,69,0,87,31290,1936-07-14,110,42.49913000000004,-90.66326999999995,IA,2021-12-15,3.9365400714209,4.3713397806143,20220315
VRBthr 9,Vero Beach Area,0,73,85,1,13,4649,2009-06-22,102,27.638850000000048,-80.39395999999994,FL,2022-01-01,-9.93283510088018,14.289154810185568,20220315
VTNthr 9,Valentine Area,0,112,77,1,32,11579,1990-07-02,114,42.87384000000003,-100.55061999999998,NE,2021-11-23,4.282273589712578,-2.8506975342218808,20220315
PBIthr 9,West Palm Beach Area,0,187,94,15,81,29092,1942-07-21,101,26.71440000000007,-80.05328999999995,FL,2021-09-09,-10.775029750087644,14.741642279163987,20220315
PDTthr 9,Pendleton Area,0,33,69,0,126,45142,1898-08-10,119,45.671790000000044,-118.78639999999996,OR,2022-02-10,8.877758858534959,-15.314114644726923,20220315
JANthr 9,Jackson Area,0,73,85,0,94,33467,1930-07-29,107,32.29887000000008,-90.18044999999995,MS,2022-01-01,-6.2943416244854165,5.353906204639568,20220315
JAXthr 9,Jacksonville Area,0,39,84,2,24,8670,1998-06-19,103,30.331470000000024,-81.65621999999996,FL,2022-02-04,-7.479159870513771,12.775474406663516,20220315
DCAthr 9,Washington Area,0,88,65,2,94,33476,1930-07-20,106,38.890370000000075,-77.03195999999997,DC,2021-12-17,1.6447775038822843,14.989004943288963,20220315
DDCthr 9,Dodge City Area,0,79,75,5,9,3548,2012-06-27,111,37.75267000000008,-100.01890999999995,KS,2021-12-26,-0.8915253664413052,-2.6820093370720657,20220315
ADQthr 9,Kodiak Area,0,77,56,0,70,25097,1953-06-28,86,57.79517000000004,-152.39468999999997,AK,2021-12-28,-11.683955792870707,-16.926761539338443,20220315
AFLI1thr 9,American Falls Area,0,101,57,10,99,35308,1925-07-14,106,42.78397000000007,-112.85483999999997,ID,2021-12-04,5.196867264629985,-11.768828718947505,20220315
PDXthr 9,Portland Area,0,30,63,0,0,260,2021-06-28,116,45.511790000000076,-122.67562999999996,OR,2022-02-13,9.41660549731958,-17.98567938059781,20220315
DENthr 9,Denver Area,0,103,72,1,9,3550,2012-06-25,105,39.74001000000004,-104.99201999999997,CO,2021-12-02,1.372177271310333,-6.376689078241339,20220315
DEQthr 9,Dequeen Area,0,77,79,16,87,31263,1936-08-10,114,34.036740000000066,-94.33944999999994,AR,2021-12-28,-4.690433376341545,1.829341642442977,20220315
VUOthr 9,Vancouver Area,0,31,65,0,0,260,2021-06-28,115,45.632480000000044,-122.67155999999994,WA,2022-02-12,9.530190773931565,-17.94951964715935,20220315
WALthr 9,Wallops Island Area,0,31,66,2,9,3538,2012-07-07,102,37.844040000000064,-75.47910999999993,VA,2022-02-12,0.8598275673918977,16.38667508647391,20220315
JBRthr 9,Jonesboro Area,0,80,75,2,123,44076,1901-07-12,116,35.83525000000003,-90.70506999999998,AR,2021-12-25,-2.774340598115818,4.715157367658847,20220315
JEFthr 9,Jefferson City Area,0,81,76,9,123,44076,1901-07-12,114,38.577510000000075,-92.17783999999995,MO,2021-12-24,-0.06565539847813738,3.422083945133013,20220315
PGDthr 9,Punta Gorda Area,0,93,87,1,71,25432,1952-07-28,103,26.932950000000062,-82.05288999999993,FL,2021-12-12,-10.840802488535582,12.933359523831383,20220315
PGWO3thr 9,Portland Downtown Area,0,30,63,0,0,260,2021-06-28,114,45.52019000000007,-122.67993999999999,OR,2022-02-13,9.425392911233264,-17.98625452240363,20220315
AGSthr 9,Augusta Area,0,73,82,1,14,5331,2007-08-10,108,33.47929000000005,-81.97521999999998,GA,2022-01-01,-4.409197204906038,12.038756567840416,20220315
AGYthr 9,Skagway Area,0,331,69,3,4,1683,2017-08-05,93,59.46031000000005,-135.30852999999996,AK,2021-04-18,-10.659611544424667,-13.956874681388648,20220315
DERM8thr 9,Deer Lodge Area,0,102,59,0,123,44066,1901-07-22,108,46.397530000000074,-112.73531999999994,MT,2021-12-03,8.719983380665923,-11.048662429745194,20220315
